,Category,Rating,Reviews,Content Rating,Size in bytes,Numeric_install
0,LIBRARIES_AND_DEMO,4.1,20145,Everyone,11264.0,1000000
1,BUSINESS,4.3,46353,Everyone,22020096.0,1000000
2,LIBRARIES_AND_DEMO,3.9,58055,Everyone,41984.0,5000000
3,LIBRARIES_AND_DEMO,3.8,7750,Everyone,299008.0,1000000
4,EDUCATION,4.4,1619,Everyone,3145728.0,1000000
5,LIBRARIES_AND_DEMO,5.0,26,Everyone,2621440.0,1000
6,BEAUTY,4.5,473,Mature 17+,8598323.2,100000
7,COMMUNICATION,4.2,124346,Everyone,711680.0,10000000
8,EVENTS,5.0,16,Everyone,2411724.8,100
9,FINANCE,4.1,13868,Everyone,1468006.4,1000000
10,COMMUNICATION,4.4,32254,Everyone,5767168.0,1000000
11,COMMUNICATION,4.2,125232,Everyone,2831155.2,10000000
12,EDUCATION,4.0,430,Everyone,538624.0,10000
13,EDUCATION,4.0,275,Everyone,2411724.8,50000
14,BOOKS_AND_REFERENCE,3.9,1778,Mature 17+,5138022.4,500000
15,BUSINESS,4.4,2287,Everyone,1572864.0,1000000
16,LIBRARIES_AND_DEMO,3.5,126862,Everyone,638976.0,10000000
17,COMMUNICATION,4.1,255,Everyone,1677721.6,10000
18,LIFESTYLE,4.1,360,Everyone,4823449.6,10000
20,EDUCATION,4.3,656,Everyone,569344.0,10000
21,AUTO_AND_VEHICLES,4.0,1403,Everyone,205824.0,100000
22,BUSINESS,3.1,4034,Everyone,23552.0,100000
23,LIBRARIES_AND_DEMO,4.4,783,Everyone,6710886.4,100000
24,LIFESTYLE,4.3,1533,Everyone,8074035.2,100000
25,LIBRARIES_AND_DEMO,3.8,67007,Everyone,237568.0,5000000
26,BOOKS_AND_REFERENCE,3.5,156,Everyone,44040192.0,500000
27,HEALTH_AND_FITNESS,3.7,1861,Everyone,1572864.0,1000000
28,EDUCATION,4.3,11904,Everyone,1887436.8,1000000
29,EDUCATION,4.3,22251,Everyone,1887436.8,1000000
30,LIFESTYLE,4.4,16637,Everyone,10485760.0,1000000
32,COMMUNICATION,4.0,9498,Everyone,120832.0,1000000
33,COMMUNICATION,4.1,28238,Everyone,17825792.0,1000000
34,COMMUNICATION,4.2,42925,Everyone,2936012.8,1000000
35,LIFESTYLE,3.7,4212,Everyone,20971520.0,1000000
36,ENTERTAINMENT,4.2,38769,Mature 17+,46137344.0,1000000
37,LIFESTYLE,4.3,7287,Everyone,5242880.0,1000000
38,GAME,4.3,10306,Mature 17+,52428800.0,1000000
40,EDUCATION,4.4,748,Everyone,53477376.0,1000000
41,EDUCATION,4.4,7005,Everyone,7235174.4,1000000
42,COMMUNICATION,4.3,335646,Everyone,8703180.8,10000000
43,ART_AND_DESIGN,4.5,27,Everyone,17825792.0,10000
46,COMICS,4.5,438,Everyone,3565158.4,10000
47,ART_AND_DESIGN,3.9,136,Everyone,4823449.6,10000
49,GAME,4.4,7614130,Everyone,73400320.0,100000000
51,EDUCATION,4.0,835,Everyone,15728640.0,100000
52,LIBRARIES_AND_DEMO,4.3,434,Everyone,16777216.0,100000
55,LIBRARIES_AND_DEMO,4.6,2580,Everyone,20971520.0,100000
56,LIBRARIES_AND_DEMO,4.7,831,Everyone,25165824.0,100000
57,HEALTH_AND_FITNESS,4.1,2469,Everyone,3774873.6,100000
58,ART_AND_DESIGN,4.4,1518,Everyone,38797312.0,100000
59,AUTO_AND_VEHICLES,4.3,348,Everyone,39845888.0,100000
60,ART_AND_DESIGN,4.1,223,Everyone,4404019.2,100000
61,FINANCE,4.4,1922,Everyone,4404019.2,100000
62,LIBRARIES_AND_DEMO,4.1,923,Everyone,4508876.8,100000
63,LIFESTYLE,4.3,601,Everyone,5347737.6,100000
64,ART_AND_DESIGN,4.3,845,Everyone,8283750.4,100000
65,LIFESTYLE,3.9,18961,Everyone,1887436.8,5000000
66,EDUCATION,3.8,27572,Everyone,26214400.0,5000000
67,LIFESTYLE,4.6,116079,Everyone,3355443.2,5000000
68,BOOKS_AND_REFERENCE,4.6,90468,Everyone,6186598.4,5000000
69,GAME,4.6,59800,Everyone,8178892.8,5000000
72,EDUCATION,4.1,358,Everyone,1992294.4,50000
74,EDUCATION,4.3,206,Everyone,18874368.0,50000
75,AUTO_AND_VEHICLES,4.0,190,Everyone,2621440.0,50000
77,ART_AND_DESIGN,4.1,227,Everyone,5452595.2,50000
78,ART_AND_DESIGN,4.4,167,Everyone,5872025.6,50000
79,LIFESTYLE,4.6,2167,Everyone,1468006.4,500000
80,LIBRARIES_AND_DEMO,3.8,912,Everyone,13631488.0,500000
81,LIBRARIES_AND_DEMO,4.7,2639,Everyone,19922944.0,500000
83,EDUCATION,4.5,1929,Everyone,2621440.0,500000
84,EDUCATION,4.2,3816,Everyone,2726297.6,500000
85,LIFESTYLE,4.3,665,Everyone,3145728.0,500000
86,BOOKS_AND_REFERENCE,4.6,2084,Everyone,7025459.2,500000
87,COMMUNICATION,4.1,29208,Everyone,24117248.0,1000000
88,ENTERTAINMENT,4.4,67554,Teen,8074035.2,1000000
90,EDUCATION,4.2,240,Everyone,30408704.0,10000
91,FOOD_AND_DRINK,4.0,196,Everyone 10+,9437184.0,10000
92,EVENTS,4.3,5839,Everyone,3670016.0,100000
93,HEALTH_AND_FITNESS,4.3,1288,Everyone,32505856.0,100000
94,HEALTH_AND_FITNESS,4.2,1608,Everyone,40894464.0,100000
95,EDUCATION,4.2,3692,Everyone,4613734.4,100000
96,GAME,4.2,17039,Everyone,5138022.4,5000000
97,ENTERTAINMENT,4.3,103078,Everyone,5872025.6,5000000
98,LIFESTYLE,3.0,4260,Everyone,6606028.8,5000000
99,EVENTS,4.3,456,Everyone,2936012.8,50000
100,FINANCE,3.9,714,Everyone,3774873.6,50000
101,HEALTH_AND_FITNESS,4.0,2490,Everyone 10+,3984588.8,500000
103,HEALTH_AND_FITNESS,4.4,7586,Everyone,47185920.0,500000
104,HEALTH_AND_FITNESS,4.5,1203,Everyone,6815744.0,500000
105,BOOKS_AND_REFERENCE,4.7,21336,Everyone,24117248.0,1000000
106,ART_AND_DESIGN,4.4,13791,Everyone,34603008.0,1000000
107,HOUSE_AND_HOME,3.9,6631,Everyone,5767168.0,1000000
108,HOUSE_AND_HOME,4.0,4465,Everyone,6081740.8,1000000
109,HOUSE_AND_HOME,4.0,4450,Everyone,7969177.6,1000000
111,GAME,4.7,295241,Everyone,4089446.4,10000000
113,BUSINESS,4.7,286897,Everyone,40894464.0,10000000
116,ART_AND_DESIGN,4.8,192,Everyone,6291456.0,10000
118,BUSINESS,4.8,10295,Everyone,40894464.0,100000
121,HOUSE_AND_HOME,3.9,1478,Everyone,5976883.2,100000
123,GAME,4.7,1732263,Everyone,81788928.0,50000000
124,BOOKS_AND_REFERENCE,4.9,2739,Everyone,22020096.0,50000
125,HOUSE_AND_HOME,4.0,515,Everyone,6081740.8,50000
126,BOOKS_AND_REFERENCE,4.6,1065,Everyone,2411724.8,500000
127,COMMUNICATION,4.2,10965,Everyone,2411724.8,500000
128,EDUCATION,4.5,14206,Everyone,22020096.0,500000
129,HOUSE_AND_HOME,4.1,2427,Everyone,5557452.8,500000
130,HEALTH_AND_FITNESS,4.2,1140,Teen,5767168.0,500000
131,HOUSE_AND_HOME,4.0,2382,Everyone,6186598.4,500000
132,EDUCATION,4.0,3847,Everyone,7235174.4,500000
134,EDUCATION,3.9,1239,Everyone,1887436.8,100000
135,LIBRARIES_AND_DEMO,4.2,3945,Everyone,9856614.4,500000
136,FINANCE,4.5,60449,Everyone,104857600.0,1000000
137,BOOKS_AND_REFERENCE,4.4,8788,Everyone,10485760.0,1000000
138,BUSINESS,4.1,7149,Everyone,11534336.0,1000000
140,ART_AND_DESIGN,4.4,8788,Everyone,12582912.0,1000000
141,ENTERTAINMENT,3.8,6979,Everyone,12582912.0,1000000
142,COMMUNICATION,4.3,72065,Everyone,13631488.0,1000000
143,HEALTH_AND_FITNESS,4.8,12705,Everyone,15728640.0,1000000
